word,translation,tag
to pour down in torrents,倾泻,cedict
to grow in number,增多,cedict
to pay in full,付清,cedict
to engage in small talk,扯家常,cedict
to tell in detail,细说,cedict
to run around in circles,转来转去,cedict
to speak in general terms,泛泛而谈,cedict
to put in extra effort,给力,cedict
to contain in great quantities,富含,cedict
to keep  in cold environment,冷藏,cedict
second-eldest child in a family,老二,cedict
to place in safe keeping,寄顿,cedict
best not to mention it,不提也罢,cedict
to pay taxes in kind,纳粮,cedict
to set foot in,涉足,cedict
to keep in mind,谨记,cedict
to keep in mind constantly,念念不忘,cedict
to state in detail,申论,cedict
to live together in harmony,相安无事,cedict
to increase in value,增值,cedict
to walk in small steps,蹀躞,cedict
to relate in detail,缕述,cedict
to discuss in general terms,泛论,cedict
to increase in price,涨价,cedict
to leave in sb's care,存放,cedict
in black and white,白纸黑字,cedict
to close in around,合围,cedict
to end in mutual destruction,同归于尽,cedict
person in a high-ranking position,上位,cedict
to state in advance,给定,cedict
to appear in court,出庭,cedict
to set in print,刊印,cedict
to act in collusion,串通一气,cedict
to continue in  office,连任,cedict
to hold in store,蕴藏,cedict
to pay in advance,预付,cedict
to place  in,寄托,cedict
to put in detention,关禁闭,cedict
to ask  in reply,反问,cedict
to put in,加上,cedict
to put in an appearance,赏光,cedict
to live in fear,一夕数惊,cedict
to fall in love,动情,cedict
to study in detail,推详,cedict
to cut in line,插队,cedict
to pay in cash,付现,cedict
in a big way,大事,cedict
to emerge in large numbers,涌现,cedict
to allow in fresh air,放风,cedict
to move in,迁入,cedict
to call in,惠临,cedict
to set in motion,启动,cedict
to arrange  in serial order,序次,cedict
to fall in price,跌价,cedict
to rise in value,升值,cedict
to keep in store,保藏,cedict
to arrange  in order,排班,cedict
to arrange in order,排列,cedict
to succeed in life,成龙,cedict
to follow in sb's steps,继承衣钵,cedict
to follow in someone's footsteps,步武,cedict
worker in science and technology,科技工作者,cedict
to hand in,递交,cedict
to explain in simple terms,要言不烦,cedict
to state explicitly in writing,载明,cedict
to state in writing,明文,cedict
to help those in distress,扶危,cedict
handed down in a family,家传,cedict
similar in shape and appearance,形似,cedict
in order to avoid,以免,cedict
to bring it on oneself,自找,cedict
to hold in custody,扣押,cedict
to hold in contempt,不齿,cedict
to talk in official jargon,打官腔,cedict
to do as you bid,遵命,cedict
to run in reverse,倒转,cedict
similar in expression and spirit,神似,cedict
to hold in esteem,崇尚,cedict
to unite in common effort,协力,cedict
to hold in storage,存有,cedict
to pay in installments,分期付款,cedict
in love and inseparable,缱绻,cedict
excellent in voice and expression,声情并茂,cedict
to try in vain,妄图,cedict
to attack in force,力攻,cedict
to live in abject poverty,饭糗茹草,cedict
to meet in passing,倾盖,cedict
to live in luxury,乘坚策肥,cedict
to turn oneself in,投案,cedict
to live in harmony,和睦相处,cedict
to live in exile,流居,cedict
to live in paradise,往生,cedict
you and i,你我,cedict
to have as its purpose,旨在,cedict
to result in failure,吹台,cedict
to keep listeners in suspense,卖关子,cedict
to live in,栖身,cedict
to live in banishment,谪居,cedict
to live in seclusion,蛰居,cedict
to live in widowhood,孀居,cedict
to keep in confinement,幽囹,cedict
first prize in a lottery,头彩,cedict
to read in silence,默读,cedict
to explain in detail,详解,cedict
to explain in detail personally,面罄,cedict
to sustain loss in trade,倒赔,cedict
to settle in court,公了,cedict
to have secret ties with,私通,cedict
to add in,加入,cedict
to bear in mind,服膺,cedict
to have an audience with,晋见,cedict
in order to,以便,cedict
to speculate in real estate,炒房,cedict
to arrive in an account,到账,cedict
thick and heavy in colors,浓墨重彩,cedict
to result in,致使,cedict
to lie in total disorder,枕藉,cedict
to bring in,调入,cedict
to bring in troops,搬兵,cedict
slovenly in dress and manner,不修边幅,cedict
conservative and dull in conversation,迂讷,cedict
to soak in water,泡水,cedict
to have dealings with,来往,cedict
to have friendly relations with,交接,cedict
to have relations with,过从,cedict
to talk in riddles,打哑谜,cedict
resolute and upright in character,刚烈,cedict
to engage in war,参战,cedict
coarse in speech and manner,野调无腔,cedict
to sell in advance,预售,cedict
to speak in unison,异口同声,cedict
to rake in money,搂钱,cedict
i beg to disturb you,讨扰,cedict
to investigate in detail,追问,cedict
to lie in wait,打埋伏,cedict
eldest child in a family,老大,cedict
to conduct oneself in society,处世,cedict
to stand in isolation,孑立,cedict
about this and that,天南地北,cedict
to respond in kind,来而不往非礼也,cedict
to drive in reverse,开倒车,cedict
to appear in,见诸,cedict
to appear in an excavation,出土,cedict
to apply in practice,实用,cedict
success in a single move,旗开得胜,cedict
to return in triumph,班师,cedict
to leave in stealth,开溜,cedict
vying in beauty and glamor,争妍斗艳,cedict
to believe in,信仰,cedict
to believe in buddhism,信佛,cedict
martyrdom in a good cause,结缨,cedict
to produce in abundance,盛产,cedict
to lie in bed,卧床,cedict
to stay in contact,联络,cedict
to buy in bulk,批量购买,cedict
talent in a particular area,偏才,cedict
in a roundabout way,曲线,cedict
to fire  in rapid succession,连发,cedict
to fall in,崩陷,cedict
to die in an accident,死难,cedict
to speculate in building land,炒地皮,cedict
to communicate in private,密语,cedict
to remain in existence,留有,cedict
to buy in,买进,cedict
to rise in revolt,发难,cedict
to die in battle,战死沙场,cedict
uninterested in wealth and glory,恬退,cedict
to engage in physical exercise,锻炼,cedict
to mix in fake material,掺假,cedict
to sit in contemplation,坐关,cedict
to sit in meditation,参禅,cedict
to invest in stock,股票投资,cedict
to lose oneself in,沉迷,cedict
to walk in someone's steps,步武,cedict
to rise in masses,蜂起,cedict
person in a vegetative state,植物人,cedict
to visit in passing,顺访,cedict
to sleep in separate rooms,分房,cedict
to draw in,吸附,cedict
to pass in an instant,转眼即逝,cedict
to land in,陷入,cedict
to major in,主攻,cedict
to break in,撬门,cedict
to die in violence,凶死,cedict
sweet and boyish in appearance,奶帅,cedict
to perform in opera,唱戏,cedict
to connect  in series,串联,cedict
to announce in advance,事先通知,cedict
interest in a third person,外心,cedict
to march straight in unchallenged,长驱直入,cedict
to narrate in detail,铺陈,cedict
to rest in peace,安息,cedict
to discuss in whispered tones,私语,cedict
to explain in layperson's terms,科普,cedict
to speculate in foreign currency,炒汇,cedict
to arrive in huge numbers,蜂拥而至,cedict
everything broken and in disorder,七零八落,cedict
to perform an in-depth investigation,深究,cedict
to die in combat,战死,cedict
ruthless and lacking in conscience,黑心,cedict
to enumerate in detail,悉数,cedict
to analyze in detail,厘析,cedict
to charge in,闯入,cedict
to obtain  in exchange,换取,cedict
to die in tragic circumstances,枉死,cedict
enveloped in clouds and mist,云山雾罩,cedict
to arrange in incorrect sequence,排错,cedict
to arrange things in sequence,编次,cedict
to drink in excess,贪杯,cedict
to watch in anticipation,眼成穿,cedict
exhausted and in disarray,横躺竖卧,cedict
noisy and in disarray,乱哄哄,cedict
malnourished and sickly in appearance,面黄肌瘦,cedict
perspicacious and impartial in judgment,明镜高悬,cedict
in twos and threes,三三两两,cedict
in-laws and friends,婚友,cedict
to proceed in advance,先行,cedict
to investigate in secret,暗访,cedict
to sign in,签到,cedict
to step in,出面,cedict
to kill in revenge,仇杀,cedict
to invest in,投入,cedict
to fire in bursts,点射,cedict
to join in charitable deeds,随喜,cedict
to fit in,合群,cedict
to press in,迫临,cedict
to dawdle in bed,赖床,cedict
once in a while,偶一,cedict
to schedule in advance,预定,cedict
to lay in supplies,囤积,cedict
to advance in rank,晋级,cedict
to expand in scale,扩容,cedict
to arrive in china,抵华,cedict
to tremble in fear,惊栗,cedict
to negotiate in secret,密商,cedict
to arrange in pairs,搭配,cedict
to outline in gold,描金,cedict
to lie in disarray,横陈,cedict
to lie fallow in rotation,轮休,cedict
to wear in,磨合,cedict
to quake in fear,惊颤,cedict
to eat in,内用,cedict
to key in,敲入,cedict
to engage in battle,接战,cedict
to drop in,上门,cedict
to proceed in parallel,并行,cedict
to celebrate in song,讴歌,cedict
to listen in,听事,cedict
to check in,值机,cedict
to check in items,寄物,cedict
to assist in managing,协理,cedict
to forget oneself in extravagance,烧包,cedict
to sleep in,睡回笼觉,cedict
unable to sing in tune,五音不全,cedict
to cast in metal,铸成,cedict
to hunt in autumn,秋狝,cedict
to throw in,投放,cedict
to incorporate in,并入,cedict
to reside in,寓居,cedict
to purchase in addition,追购,cedict
to stick in,插上,cedict
to edge in,插脚,cedict
to sing in unison,齐唱,cedict
to whisper in sb's ear,咬耳朵,cedict
to destroy in an explosion,炸碎,cedict
to feed in,加料,cedict
to participate in funeral procession,送葬,cedict
to engage in petty theft,小偷小摸,cedict
to sow in spring,春播,cedict
in a short while,一下子,cedict
to engage in corrupt practices,作弊,cedict
to stare in awe,看呆,cedict
to mix in,加进,cedict
to engage in combat,战斗,cedict
in a good mood,高高兴兴,cedict
to flow in torrents,倾泄,cedict
in contrast to,哪像,cedict
to engage in fraud,舞弊,cedict
to flee in defeat,落荒而逃,cedict
to retreat in defeat,败退,cedict
to stare in rapture,看呆,cedict
to rendezvous in secret,幽会,cedict
to weep in silence,饮泣,cedict
to engage in graft,营私,cedict
to engage in fraudulent activities,偷天换日,cedict
to gather in crops,收割,cedict
to engage in,从事,cedict
to engage in advanced studies,研修,cedict
to engage in archaeological studies,考古,cedict
to engage in prostitution,卖春,cedict
to engage in speculative trading,投机买卖,cedict
to engage in talks,商谈,cedict
to participate in,加入,cedict
to participate in an ipo,打新,cedict
to memorize in silence,默记,cedict
to glare in anger,睚眦,cedict
to sigh in despair,唉声叹气,cedict
to flee in disorder,溃逃,cedict
all of it,一股脑,cedict
to breathe in,吸入,cedict
to submit in writing,函送,cedict
to rear  in an enclosure,圈养,cedict
to persist in,坚持,cedict
to speculate in stocks,炒股,cedict
to dig in,开动,cedict
to drag in,拉扯,cedict
to curse in rage,嗔诟,cedict
to dip in sauce,蘸酱,cedict
to flood in,长驱直入,cedict
to blush in shame,愧赧,cedict
to burst in,闯进,cedict
to convey in words,言传,cedict
to bow in thanks,顶谢,cedict
to fence in,围起,cedict
to weave in,收编,cedict
to log in,登入,cedict
to log in remotely,远程登录,cedict
to prostrate oneself in worship,顶礼膜拜,cedict
to fade in,淡入,cedict
to flee in disarray,乱窜,cedict
situation in a state,国势,cedict
to rope in,拉拢,cedict
to weep in sorrow,哀哭,cedict
to squeeze in,插足,cedict
to cave in,塌陷,cedict
to weep in solitude,向隅而泣,cedict
to indulge in wishful thinking,白日做梦,cedict
to originate in,来源于,cedict
to plug in,外插,cedict
to congregate in masses,蜂聚,cedict
to indulge in,淫逸,cedict
to indulge in debauchery,纵欲,cedict
to indulge in histrionics,做张做势,cedict
to suck in,吸入,cedict
to tuck in,开动,cedict
to disperse in confusion,一哄而散,cedict
to gasp in admiration,咨嗟,cedict
to gasp in amazement,叹为观止,cedict
to shrink in,缩紧,cedict
to portray vividly in painting,传真,cedict
a turnout in full force,倾巢,cedict
to exclaim in admiration,赞叹,cedict
to exclaim in astonishment,惊叹不已,cedict
to kneel in prayer,跪祷,cedict
to shove in,插脚,cedict
caught in a dead end,无路可退,cedict
to reel in,收线,cedict
to clap in irons,械系,cedict
to rejoice in grandiose deeds,好大喜功,cedict
to butt in,打横炮,cedict
to confide in,推心,cedict
to sneak in,潜进,cedict
to kowtow in salute,叩见,cedict
to cram in,塞满,cedict
to mumble in whispers,嘟嘟哝哝,cedict
to usher in,迎来,cedict
to immerse oneself in,埋头,cedict
to hem in,围堵,cedict
to seep in,熏陶,cedict
to swarm in,一拥而入,cedict
to chime in,帮腔,cedict
to chime in easily,一拍即合,cedict
to chime in rapidly,急嘴急舌,cedict
in a bad state,糟透,cedict
to wallow in,耽溺,cedict
to drool in anticipation,齿颊生香,cedict
difficulty in adapting to changes,恋旧情结,cedict
to analyze in depth,透析,cedict
to package in smaller quantities,分装,cedict
to specialize in,主攻,cedict
person skilled in a trade,把式,cedict
to have no way out,万般无奈,cedict
expert in a certain field,大方之家,cedict
in a great rush,慌忙,cedict
room charge in a hotel,店钱,cedict
in a great hurry,着紧,cedict
in a great mess,乱成一团,cedict
skill in a specialized area,一技之长,cedict
proficiency in a particular field,一技之长,cedict
a book already in circulation,成书,cedict
number in a sequence,号数,cedict
in a single month,单月,cedict
in a difficult position,巴巴结结,cedict
stuck in a difficult position,进退不得,cedict
a rank in government service,荣禄大夫,cedict
large pool in a bathhouse,池汤,cedict
written in a forceful hand,入木三分,cedict
in a tragic state,涕泗横流,cedict
to have all one needs,应有尽有,cedict
to have all one's wishes,万事如意,cedict
in a parlous state,倾危,cedict
in a critical state,间不容发,cedict
in a dangerous state,危如累卵,cedict
in a panicked state,惊魂,cedict
in a pitiful state,人仰马翻,cedict
in a difficult situation,狼狈,cedict
in a split second,霎时,cedict
once in a blue moon,千载难逢,cedict
a person in distress,受难者,cedict
plot shift in a book,转折,cedict
in a low voice,低低切切,cedict
in a few days,日内,cedict
bend in a street,转角,cedict
in a word,总之,cedict
involved in a love affair,烟花债,cedict
heavyweight operator in a market,操盘手,cedict
annotations made in a book,圈圈点点,cedict
explanatory section in a document,条文,cedict
in a complete mess,人仰马翻,cedict
fork in a road,歧途,cedict
in a similar fashion,以此类推,cedict
in a close neighborhood,就近,cedict
step in a procedure,手脚,cedict
in a loud voice,大声,cedict
position in a hierarchy,交椅,cedict
position in a seating arrangement,座次,cedict
trapped in a besieged city,困守,cedict
speaking in a tearful voice,声泪俱下,cedict
in a critical condition,危殆,cedict
in a desperate situation,釜底游鱼,cedict
reflection in a deep pond,潭影,cedict
in a moment,一会,cedict
opportunity in a battle,战机,cedict
in a bad mood,不爽,cedict
in a happy mood,喜冲冲,cedict
infected computer in a botnet,肉鸡,cedict
a partner in crime,同谋,cedict
in a hopeless situation,进退失据,cedict
in a humiliating situation,夹起尾巴,cedict
a cicada in cold weather,寒蝉,cedict
a match made in heaven,天作之合,cedict
meal in a partitioned box,盒饭,cedict
drink in a carton,纸包饮品,cedict
error in a text,讹误,cedict
in a tight spot,走投无路,cedict
message in a bottle,漂流瓶,cedict
third in a race,季军,cedict
landscape in a pot,盆景,cedict
in a dream,梦中,cedict
stream in a valley,涧流,cedict
in a terrible mess,凌乱不堪,cedict
in a row,一连,cedict
sides in a dispute,阵营,cedict
linked in a chain,结连,cedict
linked in a unbroken chain,盘亘,cedict
in a tremendous mess,横三竖四,cedict
opening in a roof,天井,cedict
in a spectacular mess,翻江倒海,cedict
slide used in a presentation,投影片,cedict
a sheep in wolf's clothing,色厉内荏,cedict
a wolf in sheep's clothing,绵里藏针,cedict
islet in a stream,汀洲,cedict
in a cheerful mood,高兴,cedict
in a whisper,低声细语,cedict
in a hurry,匆促,cedict
a bundle wrapped in cloth,包袱,cedict
in a hideous mess,乌七八糟,cedict
a fortune in misfortune,不幸之幸,cedict
a marriage made in heaven,蓝田种玉,cedict
in a flash,一刹那,cedict
in a mess,七上八下,cedict
in a tangled mess,参差错落,cedict
in a faint,头昏眼晕,cedict
in a tremendous muddle,乱麻,cedict
toy in a capsule,扭蛋,cedict
in a panic,仓皇,cedict
veinlet in a leaf,细叶脉,cedict
in a towering rage,发指眦裂,cedict
a composition in verse,诗篇,cedict
in a haste,行色匆匆,cedict
in a loop,滚动,cedict
a blessing in disguise,因祸得福,cedict
in a slump,不景气,cedict
in a dilemma,左右两难,cedict
stuck in a dilemma,狼狈不堪,cedict
in a fog,如堕五里雾中,cedict
in a fury,一气之下,cedict
in a drunken stupor,醉生梦死,cedict
performed in a standing posture,立式,cedict
in a wink,一眨眼,cedict
in a muddle,夹七夹八,cedict
in a jumble,杂乱,cedict
in a turmoil,乌烟瘴气,cedict
in a frenzy,慌得,cedict
in a predicament,窘迫,cedict
in a daze,怔怔,cedict
bailiff in a yamen,公差,cedict
in a flurry,慌忙,cedict
in a coma,不省人事,cedict
in a trance,神思恍惚,cedict
locked in a stalemate,相持,cedict
in a rut,停滞不前,cedict
in a pique,负气,cedict
in a jiffy,须臾,cedict
a faulty expression in writing,败笔,cedict
in a nutshell,一言以蔽之,cedict
to have fun by oneself,自嗨,cedict
to have difficulty getting by,苦哈哈,cedict
to have served one's time,服满,cedict
of course have,自有,cedict
to have one's own way,自行其是,cedict
to have one's back against,背倚,cedict
to play it by ear,看着办,cedict
to make it one's business,为己任,cedict
to have no time,不暇,cedict
to have no other choice,不得已而为之,cedict
to have some other,另有,cedict
to have resigned from office,赋闲,cedict
have plenty of,有的是,cedict
to have one's way,得逞,cedict
to have one's back towards,背对,cedict
it's none of my business,打酱油,cedict
it's none of your business,雨女无瓜,cedict
with all of one's heart,尽心,cedict
to have one's job cut,削职,cedict
to have one's life shortened,折寿,cedict
that so-and-so,那厮,cedict
to have one's head shaved,剃头,cedict
to have no right,无权,cedict
to have one's fortune read,批八字,cedict
to have one's hands full,忙不过来,cedict
to make it so,使然,cedict
to have lost one's mind,脑子进水,cedict
george i of great brittain,乔治一世,cedict
not to go along with,不依,cedict
that kind of,那种,cedict
to have one's wish fulfilled,如愿以偿,cedict
to have one's blood tested,验血,cedict
to have one's property stolen,失窃,cedict
to have one's status lowered,掉价,cedict
to have no plan,没谱,cedict
to have one's ambitions elsewhere,志不在此,cedict
to have one's hands tied,束手,cedict
to have one's tubes tied,结扎,cedict
to have one's wishes fulfilled,如愿,cedict
so as not to,以免,cedict
not to do one's best,不力,cedict
to have no effect,毫无效果,cedict
to give it your all,浑身解数,cedict
to have no idea,心中无数,cedict
to have no authority,无权,cedict
to pass on for perusal,传阅,cedict
to not contend for,不争,cedict
to not strive for,不争,cedict
i would like to ask,试问,cedict
to have no opportunity,无缘,cedict
to have no news whatever,杳无音信,cedict
to have no choice,不得已,cedict
to have no alternative,无奈,cedict
to have no strength,没劲,cedict
to have no weight,不算,cedict
to have no solution,无解,cedict
not to try at all,不给力,cedict
to whine on for days,叫苦连天,cedict
to have no substance,言之无物,cedict
to have no harvest,绝收,cedict
to have no appetite,茶饭不思,cedict
to have no offspring,不育,cedict
to have no absentees,全勤,cedict
to have no aspirations,胸无大志,cedict
to have no regrets,无怨无悔,cedict
to get on with,契合,cedict
to think about it,想想看,cedict
to get over it,想通,cedict
to have an acrimonious falling-out,撕破脸,cedict
to have an easy time,好过,cedict
unable to make it through,过不去,cedict
to have complete control over,统辖,cedict
and that will suffice,即可,cedict
all of you,各位,cedict
to have spare time,没事儿,cedict
not to stand on ceremony,抗礼,cedict
to have leisure time,得空,cedict
to have time,有空,cedict
that is to say,也就是说,cedict
it's all greek to me,一窍不通,cedict
to carry on as before,沿袭,cedict
to live it up,享受,cedict
to do as one likes,任便,cedict
to do as one pleases,从心所欲,cedict
to take it lying down,示弱,cedict
on and on,亹亹不倦,cedict
to have an insight into,洞穿,cedict
to have just cause,师出有名,cedict
to go it alone,自谋出路,cedict
to only have,徒具,cedict
to get on or into,上车,cedict
reluctant to speak about it,三缄其口,cedict
to brave it out,拼到底,cedict
to have just attained maturity,笄冠,cedict
to get it straight,开窍,cedict
to make it,混出名堂,cedict
up to it,戳得住,cedict
when it comes to,要说,cedict
to take it easy,悠着,cedict
to have died long ago,宿草,cedict
to have been through,历尽,cedict
to have good taste,有眼光,cedict
to carry on intimately with,打得火热,cedict
to have much,颇具,cedict
to have become common practice,蔚然成风,cedict
to have money left,剩钱,cedict
to have good acoustics,收音,cedict
to have good eyes,眼尖,cedict
to have good intentions,安好心,cedict
to have good prospects,大有作为,cedict
to have group sex,群交,cedict
to make do with,凑付,cedict
to have high ambitions,力争上游,cedict
to have high expectations,眼高,cedict
to have great vitality,精神奕奕,cedict
with no hope of reprieve,万劫不复,cedict
to have both,兼具,cedict
not to get one's way,不遂,cedict
it takes two to tango,一个巴掌拍不响,cedict
to extend as long as,长达,cedict
to do all one can,倾尽,cedict
to have social contact,交流,cedict
to whom it may concern,敬启者,cedict
to have car sex,车震,cedict
to have never met,素未谋面,cedict
to have eye trouble,害眼,cedict
to have real skill,有两下子,cedict
to have second thoughts,犯嘀咕,cedict
to have overall control,统揽,cedict
to have passed away,不在了,cedict
to get by with difficulty,糊口,cedict
not regard as a matter,不当一回事,cedict
to have always had,素有,cedict
to have low self-esteem,自卑,cedict
to have running water,通水,cedict
term of abuse for westerners,洋鬼子,cedict
to have met once,一面之交,cedict
to have an effect,起作用,cedict
to have free rein,放开手脚,cedict
to have authority,有权,cedict
to have an outstanding account,赊账,cedict
to have bad luck,倒运,cedict
to have stage fright,怯场,cedict
to have anal sex,走后门,cedict
to have sex,上床,cedict
to have bad consequences,贻害,cedict
to have bad intentions,不安好心,cedict
to have exclusive selling rights,包销,cedict
to have sluggish blood circulation,血郁,cedict
to have poor eyesight,眼神不好,cedict
to have an extra meal,加餐,cedict
to have character,带种,cedict
to have universal appeal,人见人爱,cedict
to have contact,交往,cedict
to have regular features,五官端正,cedict
to have been dead,早死,cedict
title of respect for taoists,太上,cedict
to have an illicit affair,走私,cedict
to have an extramarital affair,出轨,cedict
to have an affair,偷腥,cedict
to have fun,企投,cedict
to have an accident,出事,cedict
to have writer's block,江郎才尽,cedict
to have moral integrity,作风正派,cedict
to have frequent dealings,常来常往,cedict
to have rotten luck,倒血霉,cedict
going as far as to,甚且,cedict
to have bright prospects,前景可期,cedict
to have secret motives,心里有鬼,cedict
to have impact,有作用,cedict
out of touch with reality,闭目塞听,cedict
to have an audience,朝见,cedict
to have an ulterior motive,别有用心,cedict
to have unique,独具,cedict
to have significance,有意义,cedict
to have loose lips,嘴快,cedict
to have an urge,冲动,cedict
to have an undeserved reputation,浪得虚名,cedict
tongue-tied for fear of embarrassment,碍口识羞,cedict
to have substance,掷地有声,cedict
to have an informal discussion,座谈,cedict
to have an intimate friendship,把袂,cedict
to have intimate talks,深谈,cedict
to have courage,有种,cedict
to have jurisdiction,管辖,cedict
to have exceptional insight,独具只眼,cedict
to have an incredible foresight,料事如神,cedict
to do at all costs,全力以赴,cedict
to have prestige,有脸,cedict
meeting for purpose of marriage,对亲,cedict
to have anal intercourse,爆菊花,cedict
to have ample supplies,不虞匮乏,cedict
to have eternal regrets,千古遗恨,cedict
to have intercourse,入肉,cedict
to have sexual intercourse,交接,cedict
to have an outing,出游,cedict
to have sinister motives,居心险恶,cedict
to have stamina,耐操,cedict
to have an orgasm,高潮,cedict
to have dialysis treatment,洗肾,cedict
to have committed heinous crimes,罪恶滔天,cedict
ability to have children,生育能力,cedict
have to,不得不,cedict
to have,占有,cedict
to have accomplished nothing,百事无成,cedict
to have affairs,偷鸡摸狗,cedict
to have an abortion,坠胎,cedict
to have an abundance,有余,cedict
to have an application rejected,遭拒,cedict
to have an erection,勃起,cedict
to have an infarction,梗死,cedict
to have an operation,动手术,cedict
to have been fired,赋闲,cedict
to have boundless prospects,前途无量,cedict
to have conceived,怀孕,cedict
to have dealings,交涉,cedict
to have diarrhea,拉稀,cedict
to have died,吹了,cedict
to have difficulty walking,步履维艰,cedict
to have disappeared,不见,cedict
to have disastrous consequences,贻害无穷,cedict
to have excessive expectations,奢望,cedict
to have exhausted,告罄,cedict
to have expectations,期望,cedict
to have eyes,长眼,cedict
to have financial difficulties,周转不开,cedict
to have friendly relationships,交游,cedict
to have guts,带种,cedict
to have lingering fears,心有余悸,cedict
to have lost consciousness,人事不知,cedict
to have marks deducted,扣分,cedict
to have meaning,有意义,cedict
to have misgivings,拘忌,cedict
to have mixed feelings,喜忧参半,cedict
to have nothing,空空如也,cedict
to have overslept,太阳晒屁股,cedict
to have postal communications,通邮,cedict
to have received,收妥,cedict
to have reservations,保留,cedict
to have scruples,拘忌,cedict
to have suspicions,嫌疑,cedict
to have swallowed gunpowder,吃枪药,cedict
to have unfounded doubts,心眼多,cedict
to have unreal expectations,盼星星盼月亮,cedict
to have unrealistic expectations,奢盼,cedict
to rarely have,罕有,cedict
at a loss for words,无言可对,cedict
not to know one's place,不分上下,cedict
to find it embarrassing,不好意思,cedict
to find it galling,不服气,cedict
to make up for,补回,cedict
to hit it off,一拍即合,cedict
on a par with,相若,cedict
to carry within it,夹带,cedict
out of this world,没治,cedict
to run for one's life,逃命,cedict
to do an on-site survey,踏勘,cedict
to put it briefly,简而言之,cedict
to call it quits,扯平,cedict
not to do anything productive,不事生产,cedict
to provide for one's family,养家糊口,cedict
to work on one's own,单干,cedict
it's difficult to please everyone,众口难调,cedict
to step on or into,踏上,cedict
have a chance encounter,不期而遇,cedict
as round as a ball,滚圆,cedict
leave it to me,包在我身上,cedict
it's a small world,人生何处不相逢,cedict
to die for one's country,殉国,cedict
to do  with great aplomb,挥洒自如,cedict
to buy it,买帐,cedict
to lose it,发神经,cedict
suddenly have a thought,突发奇想,cedict
to sacrifice one's life for,献身,cedict
to flee for one's life,逃生,cedict
to provide for one's elders,供养,cedict
it is absolutely essential to,切切,cedict
it is essential to,务期,cedict
to beat it,撒脚,cedict
to do away with,涤除,cedict
as slow as a tortoise,龟速,cedict
as solid as a rock,安如泰山,cedict
to think what you're doing,运神,cedict
to watch for one's chance,伺机,cedict
to overdo it,画蛇添足,cedict
it pays to,划得来,cedict
with regards to this,为此,cedict
as lithe as a swallow,身轻如燕,cedict
fond of interacting with people,黏人,cedict
this line of work,此道,cedict
to die for one's religion,殉教,cedict
for a long time now,一直以来,cedict
on top of,上面,cedict
plea of not guilty,无罪抗辩,cedict
to make way for,躲让,cedict
on account of,基于,cedict
not afraid of being executed,不避斧钺,cedict
to insist that,咬定,cedict
to do well at,搞好,cedict
to suffer for one's actions,吃苦头,cedict
to compensate for one's crime,顶罪,cedict
to atone for one's crime,赎罪,cedict
dam of ice on river,冰坝,cedict
to carry on one's back,背负,cedict
for a very long time,久久,cedict
to act on one's own,孤征,cedict
to open up for business,挂牌,cedict
to do with difficulty,勉强,cedict
words of advice on parting,临别赠言,cedict
to make life difficult for,过不去,cedict
to stop at this point,到此为止,cedict
it's a tough job,难为,cedict
to do as instructed,照做,cedict
to do as promised,说话算话,cedict
to do as requested,从命,cedict
on behalf of,代表,cedict
it's a deal,一言为定,cedict
hanger-on of an aristocrat,门子,cedict
to choose for some purpose,选用,cedict
to know what's going on,心中有数,cedict
to lie on one's back,仰躺,cedict
go so far as to,居然,cedict
to place out for adoption,送养,cedict
is able to or not,会不会,cedict
to live on one's own,单过,cedict
to take along with one,带上,cedict
to act on one's word,应点,cedict
to put  up for auction,投拍,cedict
a word that rhymes,同韵词,cedict
to list one by one,数一数二,cedict
i don't understand a word,一窍不通,cedict
to study on one's own,自修,cedict
emotions at time of parting,别绪,cedict
it's been a worthwhile trip,不虚此行,cedict
to bring out for display,摆出,cedict
a door that hinges upwards,吊门,cedict
it's a privilege,殊荣,cedict
it is a pity,可惜,cedict
to inspect one by one,点检,cedict
people of this province,本省人,cedict
not to get along well,不和,cedict
to not get along well,不睦,cedict
to enumerate one by one,数念,cedict
to set one's mind on,认定,cedict
to come out on top,胜出,cedict
to stand on one's head,倒立,cedict
to work with one's brains,劳心,cedict
to work with one's hands,做工,cedict
because of this,以此,cedict
to carry on one's person,挟带,cedict
to work as one,同心协力,cedict
to play for time,挨时间,cedict
to set one's heart on,属意,cedict
to set one's choice on,属意,cedict
to go for an outing,郊游,cedict
to go for,从事,cedict
to go for broke,豁出去,cedict
not leaning to one side,不偏斜,cedict
to do everything one can,奋力,cedict
to keep for use,留用,cedict
to make provision for,计提,cedict
to lie on one's side,侧卧,cedict
to move on some issue,采取行动,cedict
to pass on one's experience,传经,cedict
no way to get by,无以为生,cedict
to pass on one's art,传艺,cedict
not know where to start,无从下手,cedict
to turn on one's heels,掉头就走,cedict
to  on one's person,随身,cedict
incapable of dealing with,管教无方,cedict
not stick to one pattern,不拘一格,cedict
to make allowances for,谅解,cedict
to make problems for oneself,庸人自扰,cedict
to know for sure,料定,cedict
to cast one's light on,投映,cedict
to give up on,打消,cedict
to pay with one's life,偿命,cedict
to come as no surprise,意料之中,cedict
to jump on one foot,独脚跳,cedict
to fall on one's knees,拜倒,cedict
of this world,属世,cedict
this so-and-so,这厮,cedict
way of looking at things,眼光,cedict
for a long time,久之,cedict
